id_centro_poblado,nombre_centro_poblado,municipio,departamento
5266006,EL CHINGUI  2,ENVIGADO,ANTIOQUIA
5266007,LA ÚLTIMA COPA,ENVIGADO,ANTIOQUIA
5266008,PARCELACIÓN LA ACUARELA,ENVIGADO,ANTIOQUIA
5266009,PARCELACIÓN ALAMOS DEL ESCOBERO,ENVIGADO,ANTIOQUIA
5266010,PARCELACIÓN ALDEA DE PALMA VERDE,ENVIGADO,ANTIOQUIA
5266011,PARCELACIÓN CONDOMINIO CAMPESTRE SERRANÍA,ENVIGADO,ANTIOQUIA
5266012,PARCELACIÓN CASAS BELLO MONTE,ENVIGADO,ANTIOQUIA
5266013,PARCELACIÓN FIORE CASAS DE CAMPO,ENVIGADO,ANTIOQUIA
5266014,PARCELACIÓN CONJUNTO RESIDENCIAL BELLA TIERRA,ENVIGADO,ANTIOQUIA
5266015,PARCELACIÓN ENCENILLOS,ENVIGADO,ANTIOQUIA
5266016,PARCELACIÓN ESCOBERO,ENVIGADO,ANTIOQUIA
5266017,PARCELACIÓN HACIENDA ARRAYANES,ENVIGADO,ANTIOQUIA
5266018,PARCELACIÓN LAS PALMITAS,ENVIGADO,ANTIOQUIA
5266019,PARCELACIÓN LEMONT,ENVIGADO,ANTIOQUIA
5266020,PARCELACIÓN PRADO LARGO,ENVIGADO,ANTIOQUIA
5266021,PARCELACIÓN SAN SEBASTIÁN,ENVIGADO,ANTIOQUIA
5266023,PARCELACIÓN URBANIZACIÓN PAPIROS,ENVIGADO,ANTIOQUIA
5266024,PARCELACIÓN VERANDA,ENVIGADO,ANTIOQUIA
5266025,PARCELACIÓN VILLAS DE LA CANDELARIA,ENVIGADO,ANTIOQUIA
5282000,FREDONIA,FREDONIA,ANTIOQUIA
5282002,LOS PALOMOS,FREDONIA,ANTIOQUIA
5282003,MINAS,FREDONIA,ANTIOQUIA
5282004,PUENTE IGLESIAS,FREDONIA,ANTIOQUIA
5282005,MARSELLA,FREDONIA,ANTIOQUIA
5282008,EL ZANCUDO,FREDONIA,ANTIOQUIA
5284000,FRONTINO,FRONTINO,ANTIOQUIA
5284001,CARAUTA,FRONTINO,ANTIOQUIA
5284004,MURRI - LA BLANQUITA,FRONTINO,ANTIOQUIA
5284005,MUSINGA - TABLADITO,FRONTINO,ANTIOQUIA
5284006,NUTIBARA,FRONTINO,ANTIOQUIA
5284007,PONTÓN,FRONTINO,ANTIOQUIA
5284010,SAN LAZARO,FRONTINO,ANTIOQUIA
5284012,JENGAMECODA,FRONTINO,ANTIOQUIA
5306000,GIRALDO,GIRALDO,ANTIOQUIA
5306001,MANGLAR,GIRALDO,ANTIOQUIA
5308000,GIRARDOTA,GIRARDOTA,ANTIOQUIA
5308002,SAN ANDRÉS,GIRARDOTA,ANTIOQUIA
5308004,LA PALMA,GIRARDOTA,ANTIOQUIA
5308009,CABILDO,GIRARDOTA,ANTIOQUIA
5308010,LAS CUCHILLAS,GIRARDOTA,ANTIOQUIA
5308011,JAMUNDÍ - ESCUELAS,GIRARDOTA,ANTIOQUIA
5308012,JUAN COJO,GIRARDOTA,ANTIOQUIA
5308013,LA CALLE,GIRARDOTA,ANTIOQUIA
5308014,SAN ESTEBAN,GIRARDOTA,ANTIOQUIA
5308015,EL PARAISO,GIRARDOTA,ANTIOQUIA
5308016,JAMUNDÍ - RIELES,GIRARDOTA,ANTIOQUIA
